,size_decile,pre_beta_decile,n_firms,mean_lnME,mean_pre_beta,Date
2086,9,7,9,14.228379103705013,1.2802652317876766,2019-06-30
2087,9,8,8,14.093094580974327,1.4741753650381695,2019-06-30
2088,9,9,8,14.2287866820044,1.5858442603858505,2019-06-30
2089,9,10,14,14.19866307437076,2.345857350169659,2019-06-30
2090,10,1,8,16.04995323086198,-0.055866761431053034,2019-06-30
2091,10,2,7,15.577739144700573,0.3842357190446416,2019-06-30
2092,10,3,7,15.543590952405347,0.5213022306535431,2019-06-30
2093,10,4,7,15.511801751619172,0.6755480690115883,2019-06-30
2094,10,5,8,16.455661264774395,0.7825941790170458,2019-06-30
2095,10,6,7,16.18287548006416,0.9129547680602214,2019-06-30
2096,10,7,7,15.895041511725449,1.0804759855624184,2019-06-30
2097,10,8,7,15.53331016277616,1.3878490640941339,2019-06-30
2098,10,9,7,15.642603846616103,1.7295863427521174,2019-06-30
2099,10,10,8,15.745773967388228,2.5721994146032214,2019-06-30
2100,1,1,62,10.266665474557824,0.0970974119318274,2020-06-30
2101,1,2,51,10.423665553109632,0.6377426873076047,2020-06-30
2102,1,3,29,10.431974473943166,0.8119878887665689,2020-06-30
2103,1,4,14,10.434213533378289,0.8884669569790041,2020-06-30
2104,1,5,44,10.27513114113866,0.9979401988649137,2020-06-30
2105,1,6,40,10.393526045191532,1.1561033912093506,2020-06-30
2106,1,7,37,10.328240246386907,1.2958739052800172,2020-06-30
2107,1,8,33,10.306126716914019,1.4045168403197172,2020-06-30
2108,1,9,40,10.38796832185391,1.6085138138873087,2020-06-30
2109,1,10,48,10.248003912939554,2.1649487564506646,2020-06-30
2110,2,1,33,11.035051071437259,-0.03333692788043046,2020-06-30
2111,2,2,34,11.02024516939624,0.5265296215733642,2020-06-30
2112,2,3,18,11.073433396695064,0.7200329537895533,2020-06-30
2113,2,4,18,11.063004284085167,0.7969283463272574,2020-06-30
2114,2,5,29,11.084272371449275,0.8958963177887905,2020-06-30
2115,2,6,19,11.090760676055467,1.0435235706194181,2020-06-30
2116,2,7,41,11.030024940456721,1.2032318086882474,2020-06-30
2117,2,8,40,11.063188744887071,1.4271237082372916,2020-06-30
2118,2,9,37,11.03261576328119,1.6800168619343347,2020-06-30
2119,2,10,50,11.043674393234335,2.1676346188669626,2020-06-30
2120,3,1,25,11.36485690370844,0.1311267333014129,2020-06-30
2121,3,2,14,11.36211665796229,0.5741329670551262,2020-06-30
2122,3,3,15,11.392758914406285,0.7295513644436008,2020-06-30
2123,3,4,12,11.335125362387709,0.8306705287181483,2020-06-30
2124,3,5,19,11.378946793709002,0.9562396676910947,2020-06-30
2125,3,6,19,11.402526450685002,1.117705414658455,2020-06-30
2126,3,7,13,11.396987026023075,1.2212381179214444,2020-06-30
2127,3,8,29,11.388863917953666,1.4363472073719736,2020-06-30
2128,3,9,26,11.357335772041267,1.7131459452539688,2020-06-30
2129,3,10,26,11.382311164476999,2.4666930087445844,2020-06-30
2130,4,1,18,11.632946913585634,-0.16488710495154613,2020-06-30
2131,4,2,16,11.632762282593081,0.38411388925526163,2020-06-30
2132,4,3,19,11.628029825435508,0.566778689880675,2020-06-30
2133,4,4,17,11.603422785267488,0.7714898506214317,2020-06-30
2134,4,5,18,11.643905722756067,0.9576174852095698,2020-06-30
2135,4,6,17,11.608320906010036,1.0886002828261676,2020-06-30
2136,4,7,19,11.614470371917415,1.2478121241738613,2020-06-30
2137,4,8,14,11.619762031950474,1.3774694891589714,2020-06-30
2138,4,9,30,11.656052741375955,1.6242219987650088,2020-06-30
2139,4,10,26,11.664345461736755,2.2383554784899165,2020-06-30
2140,5,1,33,11.95550814989967,-0.2303745532976867,2020-06-30
2141,5,2,14,11.91174298077603,0.575039345775514,2020-06-30
2142,5,3,18,11.958845847327057,0.7116270061176238,2020-06-30
2143,5,4,13,11.981389456160723,0.8115702083659783,2020-06-30
2144,5,5,18,11.971677719384992,0.9319040944176046,2020-06-30
2145,5,6,18,11.959986873041467,1.0817100136855706,2020-06-30
2146,5,7,33,11.963146336323788,1.2515673705120292,2020-06-30
2147,5,8,16,11.970862262668486,1.4150191159118026,2020-06-30
2148,5,9,13,11.935931124028242,1.5446943682658276,2020-06-30
2149,5,10,41,11.94821106036756,2.072486319197803,2020-06-30
2150,6,1,17,12.343755806083538,-0.0357438294987249,2020-06-30
2151,6,2,12,12.295018193236762,0.5370003779433744,2020-06-30
2152,6,3,9,12.301768958005958,0.6837693836625731,2020-06-30
2153,6,4,12,12.333442185275546,0.8029622327576519,2020-06-30
2154,6,5,11,12.332019467033009,0.9039542342800615,2020-06-30
2155,6,6,12,12.342212030034133,1.0041541348472205,2020-06-30
2156,6,7,20,12.380592816705716,1.1840947494711587,2020-06-30
2157,6,8,14,12.303186624616307,1.4213650765037174,2020-06-30
2158,6,9,13,12.314931842138547,1.612328846470125,2020-06-30
2159,6,10,34,12.311753855986861,2.152619296006581,2020-06-30
2160,7,1,22,12.76207853110313,-0.6372103808239747,2020-06-30
2161,7,2,15,12.685558488851605,0.3489039842473734,2020-06-30
2162,7,3,11,12.747457624115606,0.5414829924199117,2020-06-30
2163,7,4,10,12.769849600913714,0.6745933794897356,2020-06-30
2164,7,5,12,12.707687741266307,0.8192625143877033,2020-06-30
2165,7,6,9,12.750719918321755,0.9823640105244582,2020-06-30
2166,7,7,12,12.732337157923054,1.1307539086886045,2020-06-30
2167,7,8,19,12.71335440828136,1.3581082920618306,2020-06-30
2168,7,9,15,12.785046169113473,1.6438192940775205,2020-06-30
2169,7,10,21,12.69600016708032,2.237493576687906,2020-06-30
2170,8,1,19,13.208151476399786,-0.13749040376795243,2020-06-30
2171,8,2,9,13.30607855914895,0.45123370606687213,2020-06-30
2172,8,3,9,13.244422531998103,0.6202156095844097,2020-06-30
2173,8,4,14,13.359363118363104,0.7614643075898212,2020-06-30
2174,8,5,10,13.40636869639253,0.8643954515637079,2020-06-30
2175,8,6,9,13.406940284485474,0.9975748677425597,2020-06-30
2176,8,7,19,13.27383564322364,1.1824084591606803,2020-06-30
2177,8,8,16,13.260968662153182,1.4273603548675937,2020-06-30
2178,8,9,16,13.265630319034809,1.6433323383226037,2020-06-30
2179,8,10,27,13.256930584538251,2.361594582158257,2020-06-30
2180,9,1,9,14.132825280156895,-0.3550170928581252,2020-06-30
2181,9,2,8,14.043013947753174,0.40505939226922344,2020-06-30
2182,9,3,10,14.123626001458495,0.6118374867014845,2020-06-30
2183,9,4,7,14.099170780441941,0.8321244341796566,2020-06-30
2184,9,5,9,13.954572682107731,0.976424359697078,2020-06-30
2185,9,6,8,14.141022556732429,1.1013663627972223,2020-06-30
2186,9,7,8,14.159425003105534,1.2170146347772524,2020-06-30
2187,9,8,7,14.155894646060831,1.32474605297366,2020-06-30
2188,9,9,11,14.064622329422043,1.465747411360028,2020-06-30
2189,9,10,18,13.962263391434611,1.991906943158033,2020-06-30
2190,10,1,10,15.358634790132134,-0.2510084079923615,2020-06-30
2191,10,2,7,15.7866435035619,0.33009758820269075,2020-06-30
2192,10,3,9,15.227349386216057,0.5457151366683904,2020-06-30
2193,10,4,8,15.506367170479193,0.7198743981434722,2020-06-30
2194,10,5,9,15.623380807965589,0.8737309454190073,2020-06-30
2195,10,6,7,16.856963861403976,1.0411028908544833,2020-06-30
2196,10,7,7,15.494623825497538,1.1414242183466625,2020-06-30
2197,10,8,7,15.693984264346216,1.2528570770486536,2020-06-30
2198,10,9,7,15.602979807023555,1.3709286487553316,2020-06-30
2199,10,10,12,15.513945892395578,2.018878957443429,2020-06-30
2200,1,1,59,10.761263850348184,-0.07419838872377012,2021-06-30
2201,1,2,29,10.936642806031973,0.3013732360294228,2021-06-30
2202,1,3,53,10.911062986902392,0.4798183727640583,2021-06-30
2203,1,4,24,10.946606730111236,0.6308725410333295,2021-06-30
2204,1,5,62,10.92787683825723,0.7687560785086915,2021-06-30
2205,1,6,26,11.053734150666449,0.9289698641633007,2021-06-30
2206,1,7,33,11.009967727190597,1.015266946987905,2021-06-30
2207,1,8,45,11.040728898549606,1.150817788794763,2021-06-30
2208,1,9,34,10.902100757989329,1.3236723910622512,2021-06-30
2209,1,10,72,10.95961570206928,1.7635936943736574,2021-06-30
2210,2,1,56,11.611385660706999,0.11249939020452789,2021-06-30
2211,2,2,22,11.655587543264742,0.5195914370972813,2021-06-30
2212,2,3,18,11.621109151349879,0.6141444841097582,2021-06-30
2213,2,4,25,11.573654649785366,0.6973193054642668,2021-06-30
2214,2,5,24,11.651630196408334,0.8141175438363543,2021-06-30
