,MKT
1995-08-31,-0.02128137564113895
1995-09-30,0.07913667227187185
1995-10-31,0.0029849654749798775
1995-11-30,-0.05632418740432939
1995-12-31,-0.05076725528538416
1996-01-31,0.0187780546951323
1996-02-29,-0.028171241221217155
1996-03-31,0.02030105036310346
1996-04-30,0.1287024400719478
1996-05-31,-0.07227444084753026
1996-06-30,-0.08730911756479795
1996-07-31,-0.004024384156806265
1996-08-31,-0.039459561310899165
1996-09-30,0.010657666682368536
1996-10-31,-0.03651380333773583
1996-11-30,-0.028865766138369928
1996-12-31,-0.10057337821069628
1997-01-31,0.10373860092742063
1997-02-28,-0.014988099833858497
1997-03-31,0.006608328073070366
1997-04-30,0.039375813488498466
1997-05-31,0.058177796849669824
1997-06-30,-9.548464906463001e-06
1997-07-31,-0.023345114523656247
1997-08-31,-0.030809974857355184
1997-09-30,-0.07782050536410823
1997-10-31,-0.2607124485425111
1997-11-30,-0.11959178898755013
1997-12-31,-0.08281874815448895
1998-01-31,0.4856478385765458
1998-02-28,-0.010332861055417687
1998-03-31,-0.1136320667065568
1998-04-30,-0.12427459706377497
1998-05-31,-0.19348120479279313
1998-06-30,-0.1084180779786125
1998-07-31,0.13692940919525903
1998-08-31,-0.09457282549646058
1998-09-30,0.002741938212219036
1998-10-31,0.21851115340159277
1998-11-30,0.16108015898685318
1998-12-31,0.2374654107221883
1999-01-31,0.028906292979945205
1999-02-28,-0.08091377335231424
1999-03-31,0.18870332010664537
1999-04-30,0.22790401234088653
1999-05-31,0.0060991076632668575
1999-06-30,0.20399655920331491
1999-07-31,0.08250500456396523
1999-08-31,-0.024279484085672293
1999-09-30,-0.1175331719444917
1999-10-31,0.007281501337709601
1999-11-30,0.20411117986788896
1999-12-31,0.05334366740606661
2000-01-31,-0.14308744595262524
2000-02-29,-0.04409059049279228
2000-03-31,-0.00030491671400710574
2000-04-30,-0.18302834346972965
2000-05-31,-0.004852895523898174
2000-06-30,0.10911959256242823
2000-07-31,-0.15846253919402237
2000-08-31,-0.02739215878086093
2000-09-30,-0.11766601505610866
2000-10-31,-0.16075725351990616
2000-11-30,-0.026084386408394288
2000-12-31,-0.04204272128353886
2001-01-31,0.2948943107437282
2001-02-28,-0.05705550688329928
2001-03-31,-0.09921755208457121
2001-04-30,0.11026724491910335
2001-05-31,0.060628727533327764
2001-06-30,-0.031228045235295675
2001-07-31,-0.09403692406297101
2001-08-31,-0.009546704540246026
2001-09-30,-0.12413021620078071
