Date,Ticker,ME,pre_beta,is_kospi,size_decile,pre_beta_decile,post_beta,lnME,ln_BE_ME_con,ln_BE_ME_sep,ln_A_ME_con,ln_A_ME_sep,ln_A_BE_con,ln_A_BE_sep,E_P_con,E_P_sep,E_P_dummy_con,E_P_dummy_sep
2000-06-30,A000270,2661000.0,0.6238014204711915,1,10,1,1.0421241721924575,14.794212549959827,,,,17.503277459739,,,,0.0,,1.0
2000-06-30,A000280,268475.9168,1.2208263303312186,1,9,5,1.044325147980959,12.500516493563682,,15.369868911882401,,17.842649394263308,,2.4727804823809074,,0.0,,1.0
2000-06-30,A000300,10570.5,1.8634165865185168,1,2,9,0.814181725921466,9.265822381435187,,,,,,,,,,
2000-06-30,A000310,10183.5712,1.470405205765963,1,2,6,0.7007125877872236,9.228531034087633,,,,18.43739099699382,,,,0.0,,1.0
2000-06-30,A000320,51583.385,1.3289114703835967,1,6,7,0.8809785092162847,10.85095490349374,,15.355741571648736,,16.116055145311552,,0.7603135736628165,,0.0729007829748409,,0.0
2000-06-30,A000360,135990.8925,1.482916046746344,1,8,9,1.2058816116945281,11.82034319556404,,15.024472615824942,,15.996778526704066,,0.9723059108791231,,0.024533295142400453,,0.0
2000-06-30,A000380,74487.2352,0.7127715145938461,0,7,1,0.7729975782666207,11.21838305009003,,14.19628728594604,,15.709541030788033,,1.5132537448419936,,0.08535829522768426,,0.0
2000-06-30,A000390,68800.0,0.8769245696042574,1,7,2,0.7559789517154666,11.138959023921435,,14.04077773426029,,14.573755672741008,,0.5329779384807168,,0.08177312453113278,,0.0
2000-06-30,A000420,29529.296,1.0897959046812644,1,5,4,0.7190250091624422,10.29313813429124,,13.994725662202791,,15.447461348232613,,1.452735686029822,,0.0,,1.0
2000-06-30,A000430,41400.0,1.6720180830717453,1,5,9,0.9892910440682878,10.631036159813405,,14.837894583306621,,15.929268226274342,,1.0913736429677219,,0.0,,1.0
2000-06-30,A000440,6905.8,0.3605069490589285,0,2,1,0.6062307754857766,8.840116917206224,,15.249459186632661,,16.869647975045627,,1.6201887884129664,,1.7716804171855542,,0.0
2000-06-30,A000480,54800.0,1.4972396986795111,1,6,8,0.8604521502745387,10.911445472936107,,14.769640465982231,,15.6002828578179,,0.8306423918356703,,0.08668915322580645,,0.0
2000-06-30,A000490,62405.1923,1.390042434785633,1,6,8,0.8604521502745387,11.041403760831662,,15.163402436993977,,15.936006624157129,,0.7726041871631524,,0.045164298787462316,,0.0
2000-06-30,A000500,33540.0,1.439051033791468,1,5,7,0.902070210480775,10.4204940353772,,15.466805956198643,,16.32406598718873,,0.8572600309900879,,0.024013572060123785,,0.0
2000-06-30,A000520,11115.0,1.142819726295788,1,2,4,0.7652629402182906,9.316050826398296,,14.15716909450736,,15.151250529426664,,0.9940814349193038,,0.23976783844427824,,0.0
2000-06-30,A000590,13620.0,2.040204121276653,1,3,10,0.7738665250975185,9.519294579703503,,15.502709840125657,,16.358971916024885,,0.8562620758992266,,2.288355341880342,,0.0
2000-06-30,A000640,136960.0,1.5708093776355865,1,8,9,1.2058816116945281,11.82744419137557,,14.394813458673134,,15.397998187488914,,1.0031847288157807,,0.1637837440154872,,0.0
2000-06-30,A000650,22300.0,0.5793807021078432,1,4,1,0.6028984510141145,10.01234195744821,,13.327680535641107,,14.473310478995307,,1.1456299433541994,,0.031519834316336044,,0.0
2000-06-30,A000660,1800265.69855,0.1799639139097356,1,10,1,1.0421241721924575,14.403444822278619,,13.853970852752543,,15.552330518461485,,1.6983596657089417,,0.0,,1.0
