,Date,size_decile,pre_beta_decile,ret
27855,2022-09-30,6,6,-0.16035340270428453
27856,2022-09-30,6,7,-0.13307660721627254
27857,2022-09-30,6,8,-0.20514297491895261
27858,2022-09-30,6,9,-0.17520700586080526
27859,2022-09-30,6,10,-0.20435972689251855
27860,2022-09-30,7,1,-0.15406597389816998
27861,2022-09-30,7,2,-0.14752915073459663
27862,2022-09-30,7,3,-0.1422012436824402
27863,2022-09-30,7,4,-0.1450755152262017
27864,2022-09-30,7,5,-0.18309941089436363
27865,2022-09-30,7,6,-0.1500477948734934
27866,2022-09-30,7,7,-0.1589552109843716
27867,2022-09-30,7,8,-0.20629141440332582
27868,2022-09-30,7,9,-0.1635735265380352
27869,2022-09-30,7,10,-0.16254421553164627
27870,2022-09-30,8,1,-0.09565004644620212
27871,2022-09-30,8,2,-0.08726482720283445
27872,2022-09-30,8,3,-0.10099661204170413
27873,2022-09-30,8,4,-0.09457110908129955
27874,2022-09-30,8,5,-0.14041715528898185
27875,2022-09-30,8,6,-0.11666136932685167
27876,2022-09-30,8,7,-0.1860990236285342
27877,2022-09-30,8,8,-0.12775936058647552
27878,2022-09-30,8,9,-0.175076022782366
27879,2022-09-30,8,10,-0.2101512241042276
27880,2022-09-30,9,1,-0.06857750217125874
27881,2022-09-30,9,2,-0.13500309797719498
27882,2022-09-30,9,3,-0.08762726145488706
27883,2022-09-30,9,4,-0.1029621913364719
27884,2022-09-30,9,5,-0.15854882911093077
27885,2022-09-30,9,6,-0.24466788381578786
27886,2022-09-30,9,7,-0.14874934817379837
27887,2022-09-30,9,8,-0.1887529999907186
27888,2022-09-30,9,9,-0.20849622889608543
27889,2022-09-30,9,10,-0.18823187873821
27890,2022-09-30,10,1,-0.09092115328301394
27891,2022-09-30,10,2,-0.08532291652373536
27892,2022-09-30,10,3,-0.06377966217090465
27893,2022-09-30,10,4,-0.16936853271295033
27894,2022-09-30,10,5,-0.11727164307626925
27895,2022-09-30,10,6,-0.1258988122660086
